SYMBOL,YEAR_MONTH,AMIHUD,HL_RANGE,ROLL_SPREAD,ZERO_RATIO,NEAR_ZERO,FHT,PASTOR,AMIVEST,LOT,VOLUME_ILLIQ,TURNOVER_ILLIQ,CV_TURNOVER,DOLLAR_ILLIQ
TIMKEN,2009-01,0.5554855763776277,0.04467296156651185,2.2452855474398974,0.0,0.0,0.0,0.001259289932444114,9.690997410637127e-08,0.0,0.0006706908115358819,1.1334094304424933e-05,0.9773568864076921,3.2471277015409277e-05
TIMKEN,2009-02,1.72727107817897,0.0718396557206769,2.7047819853428634,0.0,0.0,0.0,-0.005231004720496473,2.66243244373765e-08,0.0,5.1451612466454905e-05,9.210005924942233e-07,3.5136908255272603,9.270681575324137e-05
TIMKEN,2009-03,0.7423252234211394,0.06190526460768027,2.4912395528740157,0.05,0.05,0.004624032889335114,-0.007035948158418942,9.690997410637127e-08,0.05,0.000504489960649783,9.078776338012465e-06,1.4580586190074125,4.024996528862117e-05
TIMKEN,2009-04,0.1261278671625633,0.10637768233516774,5.236174539635186,0.0,0.0,0.0,-0.01293071819203834,1.8721156464832007e-08,0.0,3.8379742720265864e-05,4.6476107127476135e-07,2.3426495959540454,8.448513653428852e-06
TIMKEN,2009-05,0.09791272367102016,0.07564950840301375,2.9833175867697044,0.0,0.0,0.0,0.005892550895364039,1.915660547265207e-08,0.0,4.72636815920398e-05,5.214902659717966e-07,1.7204153570448841,7.47387167189523e-06
TIMKEN,2009-06,0.06221477627583658,0.07266623867841211,2.182857856355434,0.0,0.0,0.0,-0.00014099061782297696,1.3558099554578121e-08,0.0,4.529405103816024e-05,4.125647208327276e-07,2.811106404343096,5.4960859037816115e-06
TIMKEN,2009-07,0.1041341547303047,0.05804486360248572,0.0,0.0,0.0,0.0,0.00013401862002666932,6.971144284059862e-08,0.0,0.0002691538038453887,3.2400193896847315e-06,0.4862160610153666,8.187927165888425e-06
TIMKEN,2009-08,0.02704865749251832,0.06920209358415766,1.2395528339164221,0.0,0.0,0.0,0.010549567288131802,6.1246963468949065e-09,0.0,2.257081593499605e-05,2.178521063183655e-07,1.954525863605519,2.4887785274779497e-06
TIMKEN,2009-09,0.003594862775650761,0.06830575663678194,0.0,0.0,0.0,0.0,0.012859907869956154,1.0878822290871381e-09,0.0,5.203103130707153e-06,4.33130009196133e-08,1.425982540475548,3.945146121785547e-07
TIMKEN,2009-10,0.00333528960288161,0.06347963716088487,0.0,0.0,0.0,0.0,-0.021156532017081228,1.3526834052571164e-09,0.0,7.057110727125875e-06,5.6546615652326857e-08,1.037470324594924,3.925369564766696e-07
TIMKEN,2009-11,0.016216819729510765,0.05202528505456635,0.0,0.0,0.0,0.0,-0.001233311189344551,8.511314558209612e-09,0.0,5.087168634553067e-05,4.3597686210627994e-07,1.2382162943722426,1.8498392417170994e-06
TIMKEN,2009-12,0.002086818442493223,0.06712100854542073,8.81449165623831,0.0,0.0,0.0,-0.026097674675015357,1.1187512418366595e-09,0.0,4.533046556978452e-06,3.3895381439850736e-08,1.5046060977140114,2.6120167041358306e-07
TIMKEN,2010-01,0.0027334104823496692,0.05803260609684975,0.0,0.0,0.0,0.0,0.01006364009464112,2.009869131941827e-09,0.0,1.0699535640153218e-05,7.945392883716224e-08,1.4999631766319264,3.3370186473993565e-07
TIMKEN,2010-02,0.0062680622051591904,0.04454049941118417,0.0,0.0,0.0,0.0,0.009162686681959077,3.9343398387722795e-09,0.0,2.084286460162512e-05,1.905894331812175e-07,1.573316559605902,6.525455061336041e-07
TIMKEN,2010-03,0.005874672090520858,0.036506287697778084,0.0,0.09523809523809523,0.09523809523809523,0.006415690747339044,-0.002191248635209816,5.457500551618317e-09,0.14285714285714285,3.2234891046068266e-05,3.003853809263864e-07,0.7082515541360129,6.229242968584222e-07
TIMKEN,2010-04,0.004465350883318337,0.04615411120424722,0.9193632351632948,0.0,0.0,0.0,0.00653791817024199,2.2128276540647823e-09,0.0,1.1702928189662336e-05,9.971263971408208e-08,1.2183062756960215,4.896520740827282e-07
TIMKEN,2010-05,0.005415146470871728,0.04719937141522022,4.004336100071914,0.0,0.0,0.0,-0.00237908859048483,3.0479089726788983e-09,0.0,1.5183327838414687e-05,1.2614195228184016e-07,1.520196146513266,6.14102579478194e-07
TIMKEN,2010-06,0.0013216860020894854,0.057473597689625545,2.6828941560619692,0.0,0.0,0.0,-0.007830970351098051,6.184726007564702e-10,0.0,3.1089373044637414e-06,2.250459811928474e-08,1.274180379806605,1.67442014997968e-07
TIMKEN,2010-07,0.0015265759069109863,0.03264777443111258,0.0,0.0,0.0,0.0,0.006501727215814827,1.0288446056362722e-09,0.0,1.1464949564644597e-05,7.682456903578771e-08,1.4396861742050544,2.2064407358826107e-07
TIMKEN,2010-08,0.0006047603664785787,0.053254052444589986,2.0067976584860983,0.0,0.0,0.0,0.03706430964785498,4.4944515399987387e-10,0.0,2.940560053721359e-06,1.782194136216185e-08,1.3464599915544724,9.413237188481683e-08
TIMKEN,2010-09,0.001144389954367681,0.03818003936410726,1.6811910982312153,0.0,0.0,0.0,0.0007480923992107574,6.99460572439153e-10,0.047619047619047616,7.645271072187377e-06,4.629443789508337e-08,1.1447905436788823,1.843503530844053e-07
TIMKEN,2010-10,0.0004169387947986463,0.05929207013146193,6.7660616789440216,0.0,0.0,0.0,-0.015713437807900434,1.8818142935286347e-10,0.047619047619047616,1.3006488131765388e-06,6.702919630279313e-09,1.5669040106423169,7.120019891797491e-08
TIMKEN,2010-11,0.001070833053697562,0.03965771772578431,1.6212315728684512,0.0,0.0,0.0,0.001427129908398908,9.156245182642563e-10,0.047619047619047616,8.811130891866865e-06,4.794905037477126e-08,0.7161061711530231,1.8515864862335938e-07
TIMKEN,2010-12,0.0026860485638850783,0.04402266735941312,0.0,0.0,0.0,0.0,-0.002539301716463892,1.484294653056658e-09,0.0,1.2247336065231538e-05,7.218762029502957e-08,1.4897791947693728,4.403712428107354e-07
TIMKEN,2011-01,0.0011303574890069862,0.0622839529088972,1.5829979004854025,0.0,0.0,0.0,-0.018273295633656986,5.197057678855216e-10,0.0,3.1767305756029317e-06,1.6546451912973185e-08,1.619654717463777,2.005968685082592e-07
TIMKEN,2011-02,0.002120289955506901,0.043519243000271525,0.0,0.0,0.0,0.0,0.003180923540092233,1.3965304019187274e-09,0.0,1.5228082411336396e-05,8.68038492608806e-08,1.0965658813558186,3.496696572641476e-07
TIMKEN,2011-03,0.002648646879047771,0.039030920325337115,3.4757808664498597,0.09090909090909091,0.09090909090909091,0.005217678640392853,0.004802053041178546,1.7980119235099306e-09,0.09090909090909091,1.8386239738179947e-05,1.1210801818723081e-07,1.3084443367302852,4.237435645757585e-07
TIMKEN,2011-04,0.00040891255304616956,0.05376889610951167,0.0,0.0,0.0,0.0,0.019501503119869906,1.3963863354111635e-10,0.0,1.1393735534307645e-06,5.419518914038746e-09,1.521043785394608,7.360018884085492e-08
TIMKEN,2011-05,0.0006059997949122123,0.03698931068153842,0.0,0.0,0.0,0.0,0.004101944021359127,3.2950265167547927e-10,0.045454545454545456,4.733412080097938e-06,2.2784352738566766e-08,1.125824155631266,1.171959236682413e-07
TIMKEN,2011-06,0.00025667446758031147,0.0554506171228378,12.75408603257465,0.0,0.0,0.0,-0.021331675095273422,1.3823392720287628e-10,0.0,1.2130768359559502e-06,5.32070229565159e-09,1.5656455808649639,5.291177721372462e-08
TIMKEN,2011-07,0.00028654602149418137,0.04256317922138919,2.7787097851656357,0.0,0.0,0.0,0.03083120602964371,1.5048936973222527e-10,0.0,1.9303338824980027e-06,7.854823953877827e-09,1.7272128839941239,6.740312450430335e-08
TIMKEN,2011-08,0.0009761755810158651,0.04999499446350267,0.0,0.0,0.0,0.0,0.010354820391617265,7.714927266705315e-10,0.0,6.222572530009098e-06,2.851976231552675e-08,0.6908800703108366,2.0402171126980994e-07
TIMKEN,2011-09,0.0008288257126210003,0.03973601479442403,7.057941071144102,0.0,0.0,0.0,0.005555396195048521,5.596596389431804e-10,0.0,6.639241330731594e-06,3.114196259301112e-08,1.0722454520868439,1.73556493506181e-07
TIMKEN,2011-10,0.0008104069522418557,0.030119087936936996,5.252891360675453,0.0,0.0,0.0,0.0032788679001188002,6.390096177547184e-10,0.05263157894736842,1.2922102167580624e-05,5.8754133758404195e-08,1.6033914269117873,1.7566329324833125e-07
TIMKEN,2011-11,0.0009646987539110712,0.04629323880689495,0.0,0.0,0.0,0.0,0.002387930102626254,5.752547848547772e-10,0.0,5.007546372383182e-06,2.188358218991312e-08,1.7145781125748893,1.9956184676100012e-07
TIMKEN,2011-12,0.0026582002670791616,0.04003557106152847,0.0,0.0,0.0,0.0,-0.0023918058348986423,1.879661152080228e-09,0.047619047619047616,2.2588587600156186e-05,1.2414616355186908e-07,0.8202642464959436,4.649697958001035e-07
TIMKEN,2012-01,0.0012226401622885538,0.03650892086165901,2.145699493356296,0.0,0.0,0.0,-0.006808059914219583,5.849127936567213e-10,0.0,7.490692814178383e-06,4.0802310146011893e-08,1.1910272828056758,2.176865775659768e-07
TIMKEN,2012-02,0.0007626246745405421,0.05145787742799063,0.0,0.0,0.0,0.0,-0.01158236154327578,5.78809754629931e-10,0.05,5.612930620529126e-06,2.5564620868397248e-08,0.7968596475680025,1.6716648963505057e-07
TIMKEN,2012-03,0.0005306255655123624,0.04194872909649032,3.5145861476813716,0.045454545454545456,0.045454545454545456,0.0026524518079729803,-0.0008517868452396759,3.9758752454039426e-10,0.09090909090909091,5.594537900069854e-06,2.3881310303327263e-08,1.1153577321245147,1.2097599965877096e-07
TIMKEN,2012-04,0.0003928848058437565,0.04912338564465378,10.668654839220887,0.0,0.0,0.0,0.031219030193442028,2.4555598001926804e-10,0.0,2.4669234898481163e-06,9.933736739872415e-09,1.0345005172348603,9.212997178854721e-08
