DATE,Market_Liquidity_Index
2017-03-30,0.757531829054121
2017-03-31,0.5692404186001394
2017-04-03,0.4247896309378326
2017-04-05,0.3922296341574406
2017-04-06,0.36277413820357884
2017-04-07,0.4868082065278334
2017-04-10,0.2773645665779127
2017-04-11,0.4271833060426705
2017-04-12,0.43596831947276327
2017-04-13,0.25977815949801886
2017-04-17,0.29936580571240073
2017-04-18,0.4130009588794619
2017-04-19,0.25482585480084013
2017-04-20,0.38318844945715175
2017-04-21,0.3908821554055055
2017-04-24,0.4472985228314906
2017-04-25,0.4637896466802833
2017-04-26,0.5319205822412669
2017-04-27,0.5585873020407279
2017-04-28,0.41839112127336553
2017-05-02,0.2748437364727142
2017-05-03,0.4459478753374152
2017-05-04,0.4110609501142405
2017-05-05,0.43860318971915285
2017-05-08,0.31403239932661714
2017-05-09,0.49924581984126964
2017-05-10,0.4743750829175504
2017-05-11,0.41066612120683244
2017-05-12,0.2666182807902456
2017-05-15,0.3955312351974859
2017-05-16,0.413318475255281
2017-05-17,0.29323328817385197
2017-05-18,0.42620583931068007
2017-05-19,0.31044471638656657
2017-05-22,0.23967409245586205
2017-05-23,0.3884408593687379
2017-05-24,0.26025580925045433
2017-05-25,0.3837913466407792
2017-05-26,0.36656889712353447
2017-05-29,0.24644786359611748
2017-05-30,0.2451955664853527
2017-05-31,0.38227901148687904
2017-06-01,0.301010195883739
2017-06-02,0.30533105068437555
2017-06-05,0.22802117536225086
2017-06-06,0.1825948680424396
2017-06-07,0.18671356203794814
2017-06-08,0.3147449860952616
2017-06-09,0.20722666920172989
2017-06-12,0.23600648960027337
2017-06-13,0.20037161893259986
2017-06-14,0.24212902420632718
2017-06-15,0.2550177269887648
2017-06-16,0.38406477124116806
2017-06-19,0.18478618143257397
2017-06-20,0.27037041368251946
2017-06-21,0.24656045943840632
2017-06-22,0.23133280092626604
2017-06-23,0.20601132240691708
2017-06-27,0.10906464849934601
2017-06-28,0.1639477995755476
2017-06-29,0.5263749678368542
2017-06-30,0.2299561651969986
2017-07-03,0.25181946104616415
2017-07-04,0.29359870322171777
2017-07-05,0.3563196033086226
2017-07-06,0.42726002293071613
2017-07-07,0.23385999597944135
2017-07-10,-0.37440028088771904
2017-07-11,0.3234756176528221
2017-07-12,0.29675145652853047
2017-07-13,0.36156863676360357
2017-07-14,0.3017450984535369
2017-07-17,0.2840549372525825
2017-07-18,0.29027981791174534
2017-07-19,0.4200009649190072
2017-07-20,0.40067252806029663
2017-07-21,0.3511157449216172
2017-07-24,0.312449955143484
2017-07-25,0.3441863129750265
2017-07-26,0.4390153720286693
2017-07-27,0.656045611482357
2017-07-28,0.36825402854843453
2017-07-31,0.47348220813971714
2017-08-01,0.43592554342842527
2017-08-02,0.41545605578832057
2017-08-03,0.41352039520559497
2017-08-04,0.4845631304987714
2017-08-07,0.2825719848112283
2017-08-08,0.32658862890265233
2017-08-09,0.34855171144357694
2017-08-10,0.4572911915037306
2017-08-11,0.3731466260040208
2017-08-14,0.02453292045390233
2017-08-16,0.2983619451990845
2017-08-17,0.28767409895793966
2017-08-18,0.12112184686426802
2017-08-21,0.1721500130900642
2017-08-22,0.1493973015373476
2017-08-23,0.21704587699593442
2017-08-24,0.3518572450436501
2017-08-28,0.13755920387240778
2017-08-29,0.25816598008905156
2017-08-30,0.35775121369233026
2017-08-31,0.6068213953443204
2017-09-01,0.36175163105526714
2017-09-04,0.2747574669584608
2017-09-05,0.36466299141699543
2017-09-06,0.37590493532998
2017-09-07,0.3182380357496135
2017-09-08,0.3665670848767096
2017-09-11,0.43892931472223007
2017-09-12,0.5929501907102126
2017-09-13,0.6080673497626748
2017-09-14,0.41110046253152105
2017-09-15,0.5926156319430129
2017-09-18,0.3918653993532314
2017-09-19,0.5667901450859891
2017-09-20,0.4182495339022697
2017-09-21,0.5287323408013918
2017-09-22,0.5322012570135596
2017-09-25,0.32009315804636557
2017-09-26,0.22954677807757135
2017-09-27,0.2921283823750972
2017-09-28,0.4120333706556259
2017-09-29,0.3235747264694107
2017-10-03,0.21893072376610867
2017-10-04,0.17636309079566367
2017-10-05,0.2683773979044724
2017-10-06,0.5963117336055747
2017-10-09,0.4485486658780017
2017-10-10,0.4402348511461761
2017-10-11,0.6114071242502149
2017-10-12,0.5314434871636549
2017-10-13,0.5394655649871701
2017-10-16,0.4522209636056654
2017-10-17,0.4770393319783098
2017-10-18,0.4754267915415437
2017-10-19,-0.5335623870862434
2017-10-23,0.34112198211254136
2017-10-24,0.4060833686889067
2017-10-25,0.7034797485389622
2017-10-26,0.7699151324863291
2017-10-27,0.6174878169323619
2017-10-30,0.5924163007371634
2017-10-31,0.7128739052064955
2017-11-01,0.7969058490316682
2017-11-02,0.7381588209872916
2017-11-03,0.6199117785928335
2017-11-06,0.6492952618942595
2017-11-07,0.8044510693840526
2017-11-08,0.5380887000328326
2017-11-09,0.6073716040178233
2017-11-10,0.6702483865210471
2017-11-13,0.4671357293253504
2017-11-14,0.44736961585769613
2017-11-15,0.4776996427461148
2017-11-16,0.41824384261479225
2017-11-17,0.6232336551056245
2017-11-20,0.4542875143803036
2017-11-21,0.5582185946677913
2017-11-22,0.5087681705835027
2017-11-23,0.5827183606707169
2017-11-24,0.5794259700006871
2017-11-27,0.462888706136615
2017-11-28,0.5696507856033117
2017-11-29,0.5633319353625649
2017-11-30,0.7673437664135174
2017-12-01,0.5260241290589804
2017-12-04,0.3175827004285422
2017-12-05,0.4108364499234143
