DATE,Market_Liquidity_Index,NIFTY50_Liquidity_Index_Raw,NIFTY50_Liquidity_Index_30D,NIFTY50_Index
2022-12-23,0.8997375018221843,0.4038260484227775,0.7923639167354934,0.2920309717710152
2022-12-26,0.7034958958670017,0.25534498863935357,0.7656848413478338,0.18465536203137922
2022-12-27,0.8028215366854263,0.7181103245873193,0.7611597790527674,0.51930888744572
2022-12-28,0.8017036807995805,0.965027312127001,0.7598986780693253,0.6978694535598048
2022-12-29,0.8750978222278789,0.5521071572371254,0.745870780553395,0.39926198490517256
2022-12-30,0.8304156259405298,0.6943629931801492,0.7454783841182425,0.5021357598208676
2023-01-02,0.7272028261833857,0.9058785350109745,0.7459126695184538,0.6550954053582967
2023-01-03,0.7980621918770952,0.9820889216813039,0.7487985125275959,0.7102077324736612
2023-01-04,0.7625766290109007,0.580301291381167,0.7332324320588077,0.4196508637912291
2023-01-05,0.8296748659841806,0.5721798143177427,0.7340209119289287,0.4137777338920781
2023-01-06,0.8318781351681178,0.4745805816520882,0.7155653306842699,0.34319784220164185
2023-01-09,0.6355455773150033,0.643116527271697,0.7200259746063903,0.46507634946948867
2023-01-10,0.7120721057784158,0.4153705495794926,0.703597905192016,0.30037949684653875
2023-01-11,0.7266652040425271,0.8208995147389742,0.7071258838517899,0.5936419504187086
2023-01-12,0.6479610170767306,0.700607841962835,0.6970308266041584,0.5066517866242239
2023-01-13,0.709594066104331,0.5738533676875234,0.6870500398703464,0.41498798127160336
2023-01-16,0.663647988073937,0.653772822421723,0.6788108960184464,0.47278255921077517
2023-01-17,0.6261040100641715,0.7006654924097276,0.6663135150059293,0.5066934771394714
2023-01-18,0.7513596894182603,0.832877549786468,0.6653019989296262,0.6023039899985942
2023-01-19,0.5822122955812101,1.0230458897618895,0.6649573709448977,0.7398261863502319
2023-01-20,0.6857982726419523,0.8954589434436637,0.6785123409127786,0.6475603702540896
2023-01-23,0.630607547193845,0.9859117677755311,0.6866961297755528,0.7129722630535693
2023-01-24,0.5923175990334902,0.9132582186044571,0.687100315114435,0.6604320996591831
2023-01-25,0.6301798967698059,0.47194870931887195,0.6660515756427604,0.34129457658009943
2023-01-27,0.7424387805588547,0.03826840727406955,0.6527546425638893,0.027674193400905777
2023-01-30,0.666443566731087,0.3250876637132496,0.6392694076436648,0.23509049680113334
2023-01-31,0.8467993120585496,0.6844942245578648,0.639366741317399,0.4949990580102608
2023-02-01,0.8590159079921437,-0.7492086182199462,0.5931001135811943,-0.5417979392179539
2023-02-02,0.6219000304142339,0.663198263894652,0.6059108611316864,0.4795986644210775
2023-02-03,0.6714415526204168,0.39769553002432856,0.6031376878081359,0.28759762416416446
2023-02-06,0.5549737802638136,0.9098649035387185,0.6200056496453339,0.6579781888724887
2023-02-07,0.6180843748178494,0.8146583694819374,0.6386494290067534,0.5891286018581215
2023-02-08,0.710004713519607,0.8180466925457432,0.6419806412720341,0.5915789026271334
2023-02-09,0.6461901440056236,0.8716348958750864,0.6388675607303037,0.6303317645459044
2023-02-10,0.6363916057441867,1.0694684854836811,0.6561129383385221,0.7733971652252121
2023-02-13,0.5814907167223075,0.77788300880533,0.6588969388593615,0.5625341205026848
2023-02-14,0.5902686196235895,0.8067263394199939,0.6555918656729955,0.5833924725119504
2023-02-15,0.6316393151916534,0.7220449469126041,0.6469237331807055,0.52215425015992
2023-02-16,0.6602193587872708,0.876832281342321,0.656808099512744,0.6340903074496947
2023-02-17,0.6803913364948457,0.813868245141069,0.6648643805401881,0.5885572152920867
2023-02-20,0.6636487831465074,0.6762459675378658,0.6715865600697142,0.48903424587796956
2023-02-21,0.5939012155698468,0.892422414375684,0.6798967563065137,0.6453644729413818
2023-02-22,0.6935729705452058,0.4776246520386057,0.6819718930551508,0.3453991930966277
2023-02-23,0.7545285173373404,0.7599948342708203,0.6799417370395457,0.549598102598626
2023-02-24,0.5974418501143244,0.7007211593829983,0.6799455142868845,0.5067337332853126
2023-02-27,0.6094954780988904,0.7980831147668007,0.6874198391895271,0.5771420354622218
2023-02-28,0.9491935110294693,0.719017144106531,0.689594649912354,0.5199646633335079
2023-03-01,0.5742813626278863,0.9095559763818932,0.6965576660447595,0.6577547850129147
2023-03-02,0.5160986582061703,0.8535490347630085,0.6972467155439775,0.6172527875544395
2023-03-03,0.6754906968617982,0.6029522210250033,0.6832435932527479,0.4360311171732032
2023-03-06,0.7706933228501465,0.9251457419606306,0.6842331532033135,0.6690286847759995
2023-03-08,0.7679979381022206,0.7765191751529026,0.6772534001158925,0.5615478501310533
2023-03-09,0.7487752746536622,0.6484987705673804,0.6684280851813234,0.4689685742184501
2023-03-10,0.6349233400009405,0.8882280092675493,0.6823040618462793,0.642331245628498
2023-03-13,0.6313096139893886,-0.1351899760018216,0.6765221157370829,-0.09776402542557087
2023-03-14,0.6435850571287259,0.49882651916817344,0.6823134109189137,0.36073154197652324
2023-03-15,0.5551888357312448,0.3557363596797988,0.6713548154229781,0.25725441738422394
2023-03-16,0.6010833232541642,0.5945394458774125,0.7161464175595568,0.4299473320601886
2023-03-17,0.8868643230231439,0.6989638627702012,0.7173386041887417,0.5054629261159153
2023-03-20,0.5620984508083664,0.47379153203834146,0.719875137589209,0.34262723283560914
2023-03-21,0.5611586393333394,0.9306220819860981,0.7205670435374549,0.6729889565455696
2023-03-22,0.5480734690189987,-0.9871609478392636,0.6605063996267481,-0.7138756205000579
2023-03-23,0.6278825399591014,0.7509185714424527,0.6582687955899718,0.5430345095263871
2023-03-24,0.5830782264501617,0.6361906513250319,0.65042065410497,0.46006783084873687
2023-03-27,0.6464950142827692,0.7027526902581519,0.6381967942641189,0.5082028557898441
2023-03-28,0.6172332011814773,0.7959169018189001,0.6387979240312379,0.5755755162277416
2023-03-29,0.8316401051009829,0.6928742377432779,0.6350028539753475,0.5010591509724365
2023-03-31,0.7479206823218734,0.7219306221777527,0.6349990431508523,0.5220715750488257
2023-04-03,0.6324443519508262,0.9247425431371448,0.6365960518773465,0.6687371073884105
2023-04-05,0.7266933702544897,0.7519802122317971,0.6345331174470374,0.5438022460124183
2023-04-06,0.7403062967644315,0.8623831650857074,0.6407376906986323,0.623641280007974
2023-04-10,0.6783866010251611,1.0024904929565372,0.6444066266513274,0.724961339152655
2023-04-11,0.776710706348602,1.0262961973726519,0.6626956781624622,0.742176679820955
2023-04-12,0.8219551639000858,0.9593943203189219,0.6693423276973989,0.6937958974380132
2023-04-13,0.7585467449981621,0.9596421729193099,0.6779730281486092,0.6939751346022079
2023-04-17,0.7572981507955272,0.3670242375194599,0.6636043989070312,0.26541736266133903
2023-04-18,0.8512541824165715,0.798017141422161,0.6662377321508857,0.5770943261576303
2023-04-19,0.8018007017966663,1.0435242551820916,0.6707033414442255,0.7546353275071753
2023-04-20,0.7389879399147349,0.9766564329831207,0.674806921384896,0.7062791722436768
2023-04-21,0.7318420827953792,0.9499895823849334,0.686374833430227,0.6869947642054214
2023-04-24,0.7073339892249522,0.8484193624906068,0.6838172874478928,0.6135432121458517
2023-04-25,0.7830367058496382,1.0360407214007046,0.6924680056561529,0.7492235328718483
2023-04-26,0.8698778425048197,0.930903894406645,0.7018815097841283,0.6731927521039565
2023-04-27,0.8998869692067405,0.87845900907389,0.7015558764443398,0.6352666923860116
2023-04-28,1.0674374790041108,0.6617516734620477,0.7281205980931353,0.47855254763035027
2023-05-02,0.9138623649646948,1.0776346146504825,0.747414201275879,0.779302585753439
2023-05-03,0.926793907465274,1.0780741416160298,0.7714921273404199,0.7796204342116295
2023-05-04,0.9843263843203436,0.6587789239835328,0.7736334432772907,0.4764027731855537
2023-05-05,0.8571868914972033,0.7840122641308738,0.7764683899893131,0.5669665547053376
2023-05-08,0.9185682819011456,0.7027828664166658,0.7841014344685906,0.5082246779900949
2023-05-09,1.0403703262788346,0.9527392652922344,0.7848386739121286,0.6889832257586508
